,danceability,duration,end_of_fade_in,energy,key,loudness,mode,start_of_fade_out,tempo,time_signature,artist_familiarity,artist_hotttnesss,artist_latitude,artist_location,artist_longitude,artist_name,release,song_hotttnesss,title,year
178,0.0,223.9473,0.316,0.0,7,-7.417,1,216.16,119.301,4,0.842332789509,0.747251065679,,"Kingsland, AR",,Johnny Cash,Unchained,,Rowboat,1996
904,0.0,247.61424,2.798,0.0,2,-7.744,1,233.616,120.583,4,0.823688062527,0.807587096405,,"Freehold, NJ",,Bruce Springsteen,Lucky Town,,Better Days,1992
1001,0.0,110.52363,0.096,0.0,4,-16.179,1,101.994,101.793,4,0.70747876636,0.699277460562,,,,Adam Sandler,50 First Dates O.S.T.,0.0,Forgetful Lucy (Album Version),0
1151,0.0,317.90975,2.862,0.0,1,-7.714,1,303.386,90.024,4,0.827357260054,0.749062406112,,"Madrid, Spain",,Enrique Iglesias,Cosas Del Amor,0.481421753613,Contigo,1998
1161,0.0,324.88444,0.159,0.0,11,-9.383,0,316.674,129.272,4,0.902840760111,1.02125558749,,"Paris, France",,Daft Punk,Technologic,0.599715015226,Technologic (Vitalic Remix),2005
1233,0.0,193.93261,0.16,0.0,7,-8.397,0,182.967,143.997,4,0.737437395434,0.674344138853,,"Charlemagne, Quebec, Canada",,Céline Dion,D'elles,0.487112194863,A cause,2007
1419,0.0,293.45914,0.235,0.0,6,-5.671,0,269.746,135.051,4,0.902840573925,1.02125558749,,"Paris, France",,Daft Punk,Daft Club,0.639450960861,Face To Face (Cosmo VItelli Remix),2003
1456,0.0,142.00118,0.125,0.0,0,-12.013,0,134.473,82.242,4,0.759911216828,0.673207274956,,"Albany, GA",,Ray Charles,The Ray Charles Story_ Volume Three,0.425124658313,Get On The Right Track Baby  (Single/LP Version),0
1675,0.0,207.77751,0.16,0.0,9,-7.642,1,197.143,167.888,1,0.86652031981,0.766545450757,,,,Michael Jackson,Music and Me,,"Happy (Love Theme From ""Lady Sings The Blues"")",1992
2425,0.0,302.81098,0.0,0.0,11,-3.575,1,293.634,170.026,4,0.871010615313,0.879236744738,,"St. Joseph, MO",,Eminem,Encore,,My 1st Single,2004
3351,0.0,661.68118,2.67,0.0,5,-21.204,1,650.101,116.782,4,0.691133728644,0.53105019318,,"New Orleans, LA",,Harry Connick_ Jr.,To See You,0.327736683178,Loved By Me,1997
3823,0.0,156.81261,2.49,0.0,0,-7.027,1,151.028,74.95,3,0.826163133508,0.545958551676,33.24397,"Barnwell, SC",-81.36573,James Brown,Hurricane Relief: Come Together Now,,Try Me,0
4006,0.0,296.77669,3.959,0.0,0,-9.426,0,292.38,168.594,7,0.691133728644,0.53105019318,,"New Orleans, LA",,Harry Connick_ Jr.,Blue Light_ Red Light,0.572128696352,Just Kiss Me,1991
4025,0.0,613.19791,2.31,0.0,6,-19.4,1,605.431,128.222,4,0.522860138254,0.365247218514,,,,Ustad Nusrat Fateh Ali Khan,Bhulle Shah vol.21,,Ghunghat Chuk O Sajnaan Hun Sharman,0
4535,0.0,321.82812,2.932,0.0,6,-8.592,0,313.731,196.781,7,0.84297210826,0.793412622763,,,,Jason Mraz,Geekin' Out Across The Galaxy,,On Love_ In Sadness [Live EP Version],2006
4631,0.0,157.6224,0.0,0.0,8,-5.0,1,146.048,182.081,4,0.859513992879,0.812307796139,,"Berkeley, CA",,Green Day,Dookie,0.83582002352,Sassafras Roots (Album Version),1994
4982,0.0,254.04036,0.206,0.0,2,-8.031,1,240.785,105.143,3,0.825482552139,0.792990130445,,British Columbia,,Michael Bublé,Call Me Irresponsible,0.782446847825,That's Life (Album Version),2007
5369,0.0,174.34077,0.183,0.0,2,-5.48,1,170.905,175.923,4,0.847451713218,0.779968004597,49.26044,"Hanna, Alberta, Canada",-123.11403,Nickelback,Daredevil - The Album (Music From The Motion Picture),0.754492712364,Learn The Hard Way,2002
6074,0.0,242.07628,0.096,0.0,7,-3.826,0,235.828,141.968,4,0.847451713218,0.779968004597,49.26044,"Hanna, Alberta, Canada",-123.11403,Nickelback,Dark Horse,0.773215397435,Just To Get High (Album Version),2008
6156,0.0,235.54567,0.0,0.0,0,-8.098,1,225.158,246.682,4,0.792550792008,0.689625248209,,"Glen Dale, WV",,Brad Paisley,5th Gear,,If Love Was A Plane,2007
