,danceability,duration,end_of_fade_in,energy,key,loudness,mode,start_of_fade_out,tempo,time_signature,artist_familiarity,artist_hotttnesss,artist_latitude,artist_location,artist_longitude,artist_name,release,song_hotttnesss,title,year,e_grammy,e_billboard,e_spotify
0,0.0,138.97098,0.0,0.0,7,-2.06,1,138.971,177.768,4,0.643680572058,0.437503836595,55.8578,"Glasgow, Scotland",-4.24251,Hudson Mohawke,Butter,0.617870969395,No One Could Ever,2006,0,0.0,0
1,0.0,221.20444,0.165,0.0,11,-12.214,0,212.12,98.02,4,0.588156187675,0.401092425177,,,,Kris Kross,Da Bomb,,2 Da Beat Ch'yall,1993,0,0.0,1
2,0.0,318.45832,0.502,0.0,10,-10.67,1,306.265,67.567,3,0.621826485807,0.406984727155,,,,Tiger Lou,The Loyal,0.463489662237,Pilots,2005,0,0.0,0
3,0.0,262.26893,0.194,0.0,11,-3.925,1,259.419,122.332,4,0.529819134567,0.410228511159,57.42635,"Vetlanda, Sweden",15.08518,Lena Philipsson,Lena 20 År,0.212045405484,006,1998,0,0.0,0
4,0.0,196.0224,0.0,0.0,8,-6.366,1,185.202,189.346,7,0.734471413543,0.511975832943,38.8235,Maryland,-75.92381,Dying Fetus,Descend Into Depravity,0.614765809281,Ethos of Coercion,2009,0,0.0,1
5,0.0,217.57342,0.514,0.0,3,-4.867,0,214.309,88.423,4,0.738995906455,0.563366896149,,South Carolina,,Emery,I'm Only A Man (Bonus Track Version),0.717319034427,Rock-N-Rule,2007,0,0.0,1
6,0.0,355.60444,0.0,0.0,2,-7.89,1,349.309,102.397,4,0.467144844943,0.409127079449,,,,Los Ronaldos,La bola extra,,La bola extra,0,0,0.0,0
7,0.0,319.81669,7.146,0.0,7,-7.185,1,307.386,187.378,3,0.641197514984,0.44865347113,,"Syracuse, NY",,Martin Sexton,In The Journey,,In The Journey,2001,0,0.0,1
8,0.0,253.70077,0.218,0.0,4,-3.278,1,253.701,67.06,4,0.853382869278,0.610431620431,,"Boston, MA",,Aerosmith,Honkin' On Bobo,,I'm Ready,2004,0,0.0,1
9,0.0,210.93832,0.247,0.0,1,-7.664,1,210.938,207.903,4,0.729867325353,0.417882034272,,Oakland,,Skinlab,Nerve Damage,0.224820030293,Take As Needed,2002,0,0.0,0
10,0.0,92.73424,0.183,0.0,2,-8.408,1,88.114,148.577,4,0.534742140848,0.299177305722,39.73926,Illinois,-89.50409,Hall Of Fame,Hall Of Fame,0.0,One Little Too Little,1996,0,0.0,0
11,0.0,155.19302,0.084,0.0,10,-13.588,1,146.332,67.118,5,0.446256666541,0.346357522243,50.91552,"Battle, Sussex, England",0.48883,Frank Chacksfield,Classic Years,0.460484844986,Cockleshell Heroes,2007,0,0.0,0
12,0.0,95.34649,3.349,0.0,6,-13.174,1,95.346,118.772,4,0.525483906128,0.314066506467,,,,Voyage,Voyage,,Trancesequence,0,0,0.0,0
13,0.0,437.7073,0.154,0.0,11,-8.105,1,429.116,132.926,4,0.656700158051,0.476213225716,50.72805,"Devon, England",-3.71925,Wishbone Ash,TRANCE VISIONARY,0.0,Wonderful Stash,1998,0,0.0,0
14,0.0,456.59383,0.073,0.0,7,-5.688,1,451.791,99.162,4,0.433450646174,0.349260317093,,,,Malavoi,Le meilleur,,La filo,0,0,0.0,1
15,0.0,246.54322,0.258,0.0,4,-7.957,1,235.079,94.782,4,0.562282347297,0.367738816864,,Ohio,,Cobra Verde,Easy Listening,0.0,Throw It Away,2003,0,0.0,0
16,0.0,141.87057,0.525,0.0,11,-7.572,1,141.871,158.802,4,0.386827768314,0.311882922075,49.10516,"Surrey, British Columbia, Canada",-122.83019,Lisa Brokop,Lisa Brokop,,Before He Kissed Me,0,0,0.0,1
17,0.0,276.1922,2.659,0.0,7,-13.729,0,262.165,168.762,4,0.638475883027,0.411904524979,,,,The Emotions,Rejoice,,Blessed,1977,0,0.0,1
18,0.0,424.17587,0.0,0.0,10,-6.781,0,417.733,144.993,4,0.540661826076,0.346936229,,,,Safi Connection,B.P.M. - Bionic Pulse Method Vol. 3,,Goa Amsterdam,0,0,0.0,0
19,0.0,282.93179,4.807,0.0,10,-3.828,0,279.406,162.002,4,0.82022155521,0.48510469657,63.96027,"<a href=""http://billyidol.net"" onmousedown='UntrustedLink.bootstrap($(this), ""fc44f8f60d13ab68c56b3c6709c6d670"", event)' target=""_blank"" rel=""nofollow"">http://billyidol.net</a>",10.22442,Billy Idol,Devil's Playground,0.735853158634,Scream,2005,0,0.0,1
20,0.0,168.04526,0.0,0.0,0,-8.818,1,156.032,86.363,3,0.459762351913,0.369359659405,,,,The Vichy Government,The Man Delusion,0.288481642656,The Man Delusion,0,0,0.0,0
21,0.0,209.50159,3.529,0.0,4,-7.576,0,203.122,98.814,1,0.209238497129,0.116490434375,,,,Orquesta Sonara La Habana,Salsa Cubana Vol.6,,Pepe El Mañoso,0,0,0.0,0
22,0.0,152.68526,0.473,0.0,5,-13.675,1,146.727,89.747,4,0.408627746291,0.300107240409,,,,Leo Marini,Éxitos Del Romántico De Siempre,0.430160637018,Acércate Más,0,0,0.0,0
23,0.0,137.50812,0.0,0.0,6,-11.214,0,134.362,89.839,4,0.467742290909,0.375614375269,35.21553,"Erick, OK",-99.86665,Sheb Wooley,Country & Western,0.0,Mule Boogie,1993,0,0.0,0
24,0.0,349.98812,0.357,0.0,0,-15.698,1,331.372,109.398,4,0.747939215284,0.561394074956,,"Nanaimo, Canada",,Diana Krall,The Look Of Love,0.61625121853,Dancing In The Dark,2001,0,0.0,1
25,0.0,201.1424,0.0,0.0,7,-11.477,1,197.364,114.493,4,0.450149395295,0.347994069006,,,,Clifford T. Ward,Change of Heart,,Mad About You,2003,0,0.0,0
