,nominee,artist,prizes
0,#Eldisco,Alejandro Sanz,1
1,'Round Midnight,Bobby McFerrin,2
2,'Til Summer Comes Around,Keith Urban,1
3,(Everything I Do) I Do It For You (From Robin Hood - Prince Of Thieves),"Bryan Adams, Michael Kamen & Robert John ""Mutt"" Lange, songwriters (Bryan Adams)",1
4,(I'm A) Stand By My Woman Man,Ronnie Milsap,1
5,(I've Had) The Time Of My Life,Jennifer Warnes & Bill Medley,1
6,(Sittin' On) The Dock Of The Bay,Otis Redding,1
7,(There's) No Gettin' Over Me,Ronnie Milsap,1
8,...Again,Donnie McClurkin,1
9,"10,000 Reasons (Bless The Lord)",Matt Redman,1
10,100 Años De Mariachi,Placido Domingo,1
11,100% Mexicano,Pepe Aguilar,1
12,1123,BJ The Chicago Kid,1
13,11:11,Maluma,1
14,11th Commandment,Ben Harper,1
15,12 Little Spells,Esperanza Spalding,1
16,16 de Septiembre,Little Joe,1
17,1989,Taylor Swift,2
18,20 Aniversario,Mariachi Divas De Cindy Shea,1
19,20 Feet From Stardom,"Darlene Love, Merry Clayton, Lisa Fischer & Judith Hill",1
20,2010 Gathering Of Nations Pow Wow: A Spirit's Dance,(Various Artists),1
21,21,Adele,2
22,21st Century Breakdown,Green Day,1
23,24K Magic,Bruno Mars,3
24,25,Adele,2
25,3-D The Catalogue,Kraftwerk,1
26,34th N Lex,Randy Brecker,1
27,35th Anniversary,Walter Ostanek & His Band,1
28,4 + Four,Turtle Island String Quartet With Ying Quartet,1
29,44/876,Sting & Shaggy,1
30,45,Jaguares,1
31,52nd Street,Billy Joel,2
32,52nd Street Themes,Joe Lovano,1
33,69 Freedom Special,Les Paul & Friends,1
34,7,Lil Nas X,1
35,7 rings,Ariana Grande,2
36,70 Years Of Hits,Frank Yankovic,1
37,75,Joe Zawinul & The Zawinul Syndicate,1
38,7empest,Tool,1
39,80,B.B. King & Friends,1
40,80's Ladies,K.T. Oslin,1
41,88 Basie Street,Count Basie,1
42,8:30,Weather Report,1
43,9 To 5,Dolly Parton,1
44,99 Problems,Jay-Z,1
45,A Boy Named Sue,Johnny Cash,1
46,A Capella Kids,(The Maranatha! Kids),1
47,A Christmas Celebration Of Hope,B.B. King,1
48,A Colbert Christmas: The Greatest Gift Of All!,Stephen Colbert,1
49,A Day In The Life,Jeff Beck,1
50,A Day Without Rain,Enya,1
51,A Deeper Level,Israel And New Breed,1
52,A Deeper Understanding,The War On Drugs,1
53,A Feather's Not A Bird,Rosanne Cash,1
54,A Full Life: Reflections at Ninety,Jimmy Carter,1
55,A Ghost Is Born,Wilco,1
56,A Green And Red Christmas,The Muppets,1
57,A Hard Day's Night,The Beatles,1
58,A House Is Not A Home,Aretha Franklin,1
59,A Journey Through Cuban Music,Aymée Nuviola,1
60,A Legendary Christmas,John Legend,1
61,A Lincoln Portrait,Carl Sandburg,1
