title_spoty,all_artists,popularity,index
Rowboat,Johnny Cash,26,1
Better Days - Single Edit,Bruce Springsteen,38,2
Contigo,Enrique Iglesias,38,3
Technologic - Vitalic Remix,Daft Punk,20,4
A cause,Céline Dion,25,5
Face to Face,Daft Punk,59,6
Get on the Right Track,Ray Charles,23,7
"Happy (Love Theme From ""Lady Sings The Blues"")",Michael Jackson,34,8
My 1st Single,Eminem,46,9
Loved By Me,"Harry Connick, Jr.",3,10
Try Me,James Brown,53,11
Just Kiss Me,"Harry Connick, Jr.",25,12
Ghunghat Chuk O Sajnaan Hun Sharman,Nusrat Fateh Ali Khan,0,13
That's Life,Michael Bublé,38,14
"Learn The Hard Way (From ""Daredevil"")",Nickelback,24,15
Just to Get High,Nickelback,48,16
If Love Was a Plane,Brad Paisley,22,17
I Just Thought You'd Like to Know,Johnny Cash,15,18
Haven't Met You Yet,Michael Bublé,69,19
Kung Pao - Hidden Track,Brad Paisley,17,20
Come On - Mono,The Rolling Stones,27,21
Did I Do That?,Mariah Carey,28,22
Old Doc Brown,Johnny Cash,11,23
I Was There When It Happened,Johnny Cash,29,24
Maria (You Were The Only One),Michael Jackson,27,25
(Anesthesia) Pulling Teeth - Remastered,Metallica,46,26
Twilight - Remastered 2008,U2,32,27
Without You,Mariah Carey,69,28
The Damage In Your Heart,Weezer,31,29
Mrs. McGrath,Bruce Springsteen,36,30
You Ain't Missin' Nothing,T.I.,30,31
People Make The World Go 'Round,Michael Jackson,25,32
Haunt You Every Day,Weezer,31,33
Goodbye Babylon,The Black Keys,35,34
Dancing Flames,Mannheim Steamroller,9,35
Elle - Live à l'Olympia,Céline Dion,11,36
Quand on n'a que l'amour - Live à l'Olympia,Céline Dion,31,37
Thanks a Lot,Johnny Cash,17,38
The Scientist,Coldplay,82,39
Uno - Alternative Version,Muse,20,40
"I Still Miss Someone - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",Johnny Cash,45,41
She Said Yeah - Remastered 2002,The Rolling Stones,27,42
Woke Up This Morning,Nickelback,41,43
Just a Little Heat,The Black Keys,35,44
Westbound Sign,Green Day,39,45
Lady Jane - Mono Version,The Rolling Stones,43,46
Junior's Widow,The Black Keys,30,47
In the Closet,Michael Jackson,56,48
Smile,Michael Bublé,49,49
Bliss,Muse,54,50
I Cry Alone,The Black Keys,31,51
How Sweet It Is,Michael Bublé,37,52
Easily,Muse,39,53
Evil Deeds,Eminem,52,54
Fantasy,Mariah Carey,74,55
Don't Lie To Me,The Rolling Stones,17,56
Sunday Bloody Sunday - Remastered 2008,U2,70,57
Growin' Up,Bruce Springsteen,44,58
"Bailamos - From ""Wild Wild West""",Enrique Iglesias,58,59
With Or Without You - Remastered,U2,77,60
The Reason,Céline Dion,50,61
Too Close For Comfort,Michael Bublé,17,62
Paul Rosenberg - Skit,Eminem,4,63
Television Rules the Nation / Crescendolls,Daft Punk,49,64
No More Sorrow,Linkin Park,60,65
One,Metallica,70,66
Nebraska,Bruce Springsteen,45,67
Too Young,Michael Jackson,19,68
Fresh,Daft Punk,47,69
Public Enemy #1,Eminem,31,70
Too Much Food,Jason Mraz,26,71
Declaration Of Love,Céline Dion,35,72
For Once In My Life,"Harry Connick, Jr.",19,73
I'm Goin' Down,Bruce Springsteen,56,74
Maybe,Enrique Iglesias,35,75
Moon over Miami,The Ray Charles Singers,1,76
Da Funk,Daft Punk,62,77
Wordplay,Jason Mraz,46,78
If You Need Me,The Rolling Stones,28,79
We Ought To Be Ashamed,Johnny Cash,7,80
The Brainwasher,Daft Punk,32,81
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,76,82
"The Invertebraes - Live at Österåker Prison, Sweden - October 1972",Johnny Cash,5,83
She's Long Gone,The Black Keys,46,84
Something About Us,Daft Punk,67,85
Blinded By The Light,Bruce Springsteen,49,86
Last to Die,Bruce Springsteen,28,87
Brothers & Sisters,Coldplay,31,88
Papercut,Linkin Park,72,89
Crash Course In Brain Surgery,Metallica,36,90
If It's Over,Mariah Carey,38,91
The Clues,John Frizzell,0,92
Lazy Bones,"Harry Connick, Jr.",13,93
Start Me Up - Remastered 2009,The Rolling Stones,74,94
Jya Haiyo Ya Qayyum,Nusrat Fateh Ali Khan,0,95
Too Long - Gonzales Version,Daft Punk,23,96
Save the Last Dance for Me - Ralphi Rosario Hydrolic Dub,Michael Bublé,10,97
Magnificent,U2,51,98
The Mayor of Pussytown,Adam Sandler,27,99
Now She's Gone,Ray Charles,4,100
Touring The Ship,John Frizzell,2,101
Deep,Nickelback,26,102
Why You Wanna,T.I.,51,103
"I Threw A Brick Through A Window/A Day Without Me - Live from Werchter, Belgium July 1982 - Remastered",U2,25,104
Tujh Ko Aata Hai Har Ek Dukh Ka Madawa Karna,Nusrat Fateh Ali Khan,3,105
Pride (In The Name Of Love) - Remastered 2009,U2,66,106
Ring of Fire,Johnny Cash,69,107
"Hallelujah, I Love Her So",Ray Charles,60,108
Rollin' & Scratchin',Daft Punk,48,109
Tuesday's Gone,Metallica,52,110
Love Is The Answer,Weezer,12,111
When It's Time,Green Day,48,112
I'll Be There,Mariah Carey,50,113
Never Gonna Give You Up,The Black Keys,41,114
Even Better Than The Real Thing,U2,49,115
When A Man Loves A Woman,James Brown,7,116
