,title,all_artists,popularity
0,I Got Ants In My Pants - Part 1,James Brown,3
1,Katie Appears,John Frizzell,1
2,"Heartbreaker / ""If You Should Ever Be Lonely"" - Junior's Heartbreaker Club Mix",Mariah Carey,20
3,Traditions of Christmas,Mannheim Steamroller,10
4,Born to Lose,Johnny Cash,15
5,Georgia on My Mind,Michael Bublé,51
6,2000 Watts,Michael Jackson,40
7,Somebody To Love,Queen,64
8,Stack Shot Billy,The Black Keys,35
9,Examining Weiss,John Frizzell,0
10,Moment's Notice,"Harry Connick, Jr.",5
11,Tell 'Em I Said That,T.I.,31
12,Swanee River Rock (Talkin' 'Bout That River),Ray Charles,15
13,Falling Down,Muse,42
14,Cabina Di Capitano,John Frizzell,2
15,Aerodynamic - Daft Punk Remix,Daft Punk,49
16,Every Saturday Night,Ray Charles,15
17,Who Wants To Live Forever,Queen,54
18,I Hope That's Me,Brad Paisley,26
19,Give Me Novacaine / She's a Rebel,Green Day,55
20,Sleepin' on the Foldout,Brad Paisley,20
21,I Got A Bag Of My Own,James Brown,9
22,My Funny Valentine,Michael Bublé,39
23,Feeling Good,Michael Bublé,71
24,Some Day Baby,Ray Charles,16
25,Summer Breeze,Jason Mraz,34
26,Trop jeune à dix sept ans,Céline Dion,10
27,Orange Blossom Special,Johnny Cash,42
28,Photograph,Nickelback,66
29,Santa Ana - Studio Outtake - 1973,Bruce Springsteen,19
30,Hark! The Herald Angels Sing / Gloria (In Excelsis Deo),Mariah Carey,29
31,Ride On Baby,The Rolling Stones,25
32,How You Remind Me,Nickelback,77
33,The Drunk,James Brown,6
34,Usman Ke Laal Aapka Darbar,Nusrat Fateh Ali Khan,13
35,Innuendo - Remastered 2011,Queen,58
36,Nice Guys Finish Last,Green Day,53
37,Sing This All Together - Remastered 2017 / Stereo,The Rolling Stones,28
38,Silver Bells,"Harry Connick, Jr.",4
39,Angie,The Rolling Stones,70
40,Moondance,Michael Bublé,46
41,Out In the Street,Bruce Springsteen,45
42,You Dreamer You,Johnny Cash,11
43,Too Much Food,Jason Mraz,26
44,"Tonight, Not Again",Jason Mraz,24
45,Encore/Curtains Down,Eminem,49
46,Crazy Little Thing Called Love - Live from Madison Square Garden,Michael Bublé,28
47,Rocks Off,The Rolling Stones,53
48,Greensleeves,Mannheim Steamroller,12
49,Speed of Sound,Coldplay,68
50,Vanishing,Mariah Carey,38
51,Common Pleasure,Jason Mraz,19
52,Walk On,U2,55
53,It's A Wrap,Mariah Carey,29
54,Scream,Michael Jackson,56
55,Earthrise,Mannheim Steamroller,9
56,She,Green Day,61
57,Betcha Gon' Know (the prologue),Mariah Carey,26
58,My Mind Is Ramblin,The Black Keys,38
59,Hey Girl,Ray Charles,25
60,Worry Rock,Green Day,42
61,Come Fly with Me,Michael Bublé,46
62,On the Wagon,Green Day,30
63,Be Better Than Me,T.I.,22
64,Old Enough,Nickelback,4
65,Rainy Night in Georgia,Ray Charles,18
66,In My Place,Coldplay,70
67,"Damage, Inc.",Metallica,46
68,Man Atkeia Beparwah De Naal,Nusrat Fateh Ali Khan,5
69,Espionage,Green Day,32
70,You Only Live Twice - Live from Norway,Coldplay,30
71,What On Earth Will You Do (For Heaven's Sake),Johnny Cash,15
72,Straight A's in Love (2017 Remaster),Johnny Cash,16
73,¡Viva La Gloria!,Green Day,32
74,No Surrender,Bruce Springsteen,51
75,Desnudo,Enrique Iglesias,37
76,Sent from Up Above,Mariah Carey,34
77,Corduroy Blues,Adam Sandler,1
78,Church on Sunday,Green Day,42
79,Vocation,"Harry Connick, Jr.",4
80,Not Fade Away - Mono Version,The Rolling Stones,38
81,Headlong - Remastered 2011,Queen,54
82,I'm Your Man,Enrique Iglesias,28
83,Lying from You - Live LP Underground Tour 2003,Linkin Park,45
84,Get On Your Boots,U2,38
85,Hold Me In Your Arms (And Let Me Fall),Brad Paisley,25
86,Délivre-Moi,Céline Dion,18
87,Candy Bling,Mariah Carey,28
88,Mr. Mathers - Skit,Eminem,37
89,Fly,Nickelback,26
90,Whatever You Like,T.I.,73
91,A Day Without Me - Remastered 2008,U2,27
92,More Than Just Friends,Mariah Carey,25
93,Make a Mistake,Brad Paisley,23
94,Night Train,James Brown,45
95,Grown so Ugly,The Black Keys,34
96,Christmas Lullaby,Mannheim Steamroller,8
