duration,end_of_fade_in,key,loudness,mode,start_of_fade_out,tempo,time_signature,artist_name,e_grammy,e_billboard,e_spotify
223.9473,0.316,7,-7.417,1,216.16,119.301,4,Johnny Cash,0.0,0.0,0
317.90975,2.862,1,-7.714,1,303.386,90.024,4,Enrique Iglesias,0.0,0.0,0
193.93261,0.16,7,-8.397,0,182.967,143.997,4,Céline Dion,0.0,0.0,0
207.77751,0.16,9,-7.642,1,197.143,167.888,1,Michael Jackson,0.0,0.0,0
302.81098,0.0,11,-3.575,1,293.634,170.026,4,Eminem,0.0,0.0,0
156.81261,2.49,0,-7.027,1,151.028,74.95,3,James Brown,0.0,0.0,1
254.58893,0.09,4,-6.512,0,238.37,88.109,4,Mariah Carey,0.0,0.0,0
250.43546,0.0,10,-15.261,1,241.998,76.324,3,Johnny Cash,0.0,0.0,0
136.202,0.0,6,-13.71,1,126.38,134.526,1,Johnny Cash,0.0,0.0,0
222.45832,0.408,0,-8.813,0,212.526,73.547,4,Michael Jackson,0.0,0.0,0
214.49098,0.706,6,-8.658,1,198.124,122.035,4,Mariah Carey,0.0,0.0,1
242.93832,0.0,6,-4.544,1,235.427,122.993,4,Weezer,0.0,0.0,0
259.65669,0.189,0,-7.672,1,250.671,168.672,4,Bruce Springsteen,0.0,0.0,0
277.05424,0.16,11,-4.481,1,266.838,83.064,4,Weezer,0.0,0.0,0
355.3171,0.554,5,-10.267,1,344.062,151.228,1,The Black Keys,0.0,0.0,0
392.51546,0.206,4,-9.219,0,388.272,152.038,4,Mannheim Steamroller,0.0,0.0,0
301.71383,0.665,5,-12.988,1,297.059,73.536,4,Coldplay,0.0,0.0,1
32.49587,0.717,5,-16.001,1,32.496,215.865,7,The Black Keys,0.0,0.0,0
252.49914,0.212,0,-7.429,0,252.499,128.202,5,Muse,0.0,0.0,1
168.04526,0.345,7,-13.471,1,162.354,100.82,4,The Black Keys,0.0,0.0,0
221.20444,0.0,9,-6.056,0,215.62,117.108,4,Muse,0.0,0.0,0
261.72036,0.0,2,-5.266,1,261.72,151.11,4,Eminem,0.0,0.0,1
289.85424,0.127,3,-9.183,1,275.209,102.479,4,Mariah Carey,0.0,1.0,1
120.42404,0.252,9,-8.196,1,114.004,157.111,1,The Rolling Stones,0.0,0.0,0
