,duration,end_of_fade_in,key,loudness,mode,start_of_fade_out,tempo,time_signature,artist_name,title,e_billboard
0,252.05506,2.049,10,-4.829,0,236.635,87.002,4,Faster Pussy cat,Silent Night,0.0
1,156.55138,0.258,9,-10.555,1,148.66,150.778,1,Karkkiautomaatti,Tanssi vaan,0.0
2,138.97098,0.0,7,-2.06,1,138.971,177.768,4,Hudson Mohawke,No One Could Ever,0.0
3,145.05751,0.0,7,-4.654,1,138.687,87.433,4,Yerba Brava,Si Vos Querés,0.0
4,514.29832,0.0,5,-7.806,0,506.717,140.035,4,Der Mystic,Tangle Of Aspens,0.0
5,816.53506,2.194,10,-21.42,1,811.799,90.689,4,David Montgomery,"Symphony No. 1 G minor ""Sinfonie Serieuse""/Allegro con energia",0.0
6,212.37506,0.0,3,-4.931,0,206.629,101.45,1,Sasha / Turbulence,We Have Got Love,0.0
7,221.20444,0.165,11,-12.214,0,212.12,98.02,4,Kris Kross,2 Da Beat Ch'yall,0.0
8,139.17995,0.171,5,-10.705,1,130.479,115.427,1,Joseph Locke,Goodbye,0.0
9,104.48934,0.0,4,-20.16,0,104.489,124.339,4,The Sun Harbor's Chorus-Documentary Recordings,Mama_ mama can't you see ?,0.0
10,68.96281,0.363,2,-11.072,1,68.963,62.294,4,3 Gars Su'l Sofa,L'antarctique,0.0
11,168.22812,0.0,7,-10.418,1,165.413,87.319,3,Jorge Negrete,El hijo del pueblo,0.0
12,301.60934,0.0,1,-4.882,1,291.405,85.34,5,Danny Diablo,Cold Beer feat. Prince Metropolitan,0.0
13,318.45832,0.502,10,-10.67,1,306.265,67.567,3,Tiger Lou,Pilots,0.0
14,273.18812,0.34,11,-15.559,0,259.738,111.007,4,Waldemar Bastos,N Gana,0.0
15,262.26893,0.194,11,-3.925,1,259.419,122.332,4,Lena Philipsson,006,0.0
16,216.47628,2.032,6,-14.379,1,208.062,99.214,4,Shawn Colvin,(Looking For) The Heart Of Saturday,0.0
17,196.0224,0.0,8,-6.366,1,185.202,189.346,7,Dying Fetus,Ethos of Coercion,0.0
18,217.57342,0.514,3,-4.867,0,214.309,88.423,4,Emery,Rock-N-Rule,0.0
19,355.60444,0.0,2,-7.89,1,349.309,102.397,4,Los Ronaldos,La bola extra,0.0
20,353.77587,0.351,1,-7.569,1,343.255,167.85,4,Rev. Timothy Wright,I Made It Over,0.0
21,93.12608,0.098,10,-29.369,1,82.57,120.997,7,Pierre-Laurent Aimard,Debussy : 12 Etudes : VI Pour les huit doigts,0.0
22,213.4722,0.142,10,-9.257,0,213.472,135.747,4,Nicolette,Nervous,0.0
23,319.81669,7.146,7,-7.185,1,307.386,187.378,3,Martin Sexton,In The Journey,0.0
24,204.19873,0.207,10,-12.402,1,201.021,92.085,5,Craze,Fuckin Ethic People (999),0.0
25,258.89914,0.0,1,-4.66,1,250.149,157.862,1,Christian Castro,Tu Vida Con La Mía,0.0
26,253.70077,0.218,4,-3.278,1,253.701,67.06,4,Aerosmith,I'm Ready,0.0
27,210.93832,0.247,1,-7.664,1,210.938,207.903,4,Skinlab,Take As Needed,0.0
28,180.55791,3.512,9,-16.44,0,175.119,132.156,4,Mike Badger and Friends,Autumn In The Mind (Acoustic Version),0.0
29,216.0322,0.357,8,-12.143,1,212.149,179.396,4,Piotta,Tequila,0.0
30,236.042,0.0,1,-6.909,0,215.986,98.099,4,Sev Statik,All For A Purpose (Speak Life Album Version),0.0
31,466.99057,2.438,11,-7.8,0,453.178,140.022,4,The Advent,C On,0.0
32,212.06159,0.0,11,-7.69,0,198.972,120.703,4,Prince & The Revolution,Raspberry Beret (LP Version),0.0
33,372.4273,0.0,7,-6.663,1,355.062,191.665,3,Kreator,All of the same blood,0.0
34,92.73424,0.183,2,-8.408,1,88.114,148.577,4,Hall Of Fame,One Little Too Little,0.0
35,155.19302,0.084,10,-13.588,1,146.332,67.118,5,Frank Chacksfield,Cockleshell Heroes,0.0
