,rank,song,artist,peak-rank,weeks-on-board
0,1,Easy On Me,Adele,1,3
1,2,Stay,The Kid LAROI & Justin Bieber,1,16
2,3,Industry Baby,Lil Nas X & Jack Harlow,1,14
3,4,Fancy Like,Walker Hayes,3,19
4,5,Bad Habits,Ed Sheeran,2,18
5,6,Way 2 Sexy,Drake Featuring Future & Young Thug,1,8
6,7,Shivers,Ed Sheeran,7,7
7,8,Good 4 U,Olivia Rodrigo,1,24
8,9,Need To Know,Doja Cat,9,20
9,10,Levitating,Dua Lipa,2,56
10,11,Essence,Wizkid Featuring Justin Bieber & Tems,9,17
11,12,Kiss Me More,Doja Cat Featuring SZA,3,29
12,13,Heat Waves,Glass Animals,12,41
13,14,Beggin',Maneskin,14,18
14,15,Cold Heart (PNAU Remix),Elton John & Dua Lipa,15,8
15,16,You Right,Doja Cat & The Weeknd,11,18
16,17,Save Your Tears,The Weeknd & Ariana Grande,1,46
17,18,If I Didn't Love You,Jason Aldean & Carrie Underwood,15,14
18,19,Traitor,Olivia Rodrigo,9,23
19,20,My Universe,Coldplay x BTS,1,5
20,21,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",17,3
21,22,Knife Talk,Drake Featuring 21 Savage & Project Pat,4,8
22,23,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,23,7
23,24,Montero (Call Me By Your Name),Lil Nas X,1,31
24,25,Chasing After You,Ryan Hurd With Maren Morris,23,26
25,26,Girls Want Girls,Drake Featuring Lil Baby,2,8
26,27,Moth To A Flame,Swedish House Mafia & The Weeknd,27,1
27,28,Let's Go Brandon,Bryson Gray Featuring Tyson James & Chandler Crump,28,1
28,29,Thats What I Want,Lil Nas X,10,6
29,30,Pepas,Farruko,25,14
30,31,Love Nwantiti (Ah Ah Ah),CKay,31,6
31,32,Take My Breath,The Weeknd,6,12
32,33,Happier Than Ever,Billie Eilish,11,13
33,34,Wockesha,Moneybagg Yo,20,27
34,35,Better Days,NEIKED X Mae Muller X Polo G,35,2
35,36,Buy Dirt,Jordan Davis Featuring Luke Bryan,34,12
36,37,Ghost,Justin Bieber,32,5
37,38,Lets Go Brandon,Loza Alexander,38,2
38,39,Cold As You,Luke Combs,39,13
39,40,A-O-K,Tai Verdes,34,17
40,41,You Should Probably Leave,Chris Stapleton,40,17
41,42,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),1,34
42,43,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,43,11
43,44,Memory I Don't Mess With,Lee Brice,33,14
44,45,Bubbly,Young Thug With Drake & Travis Scott,20,2
45,46,Wild Side,Normani Featuring Cardi B,14,15
46,47,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,22,9
47,48,Gyalis,Capella Grey,38,13
48,49,I Was On A Boat That Day,Old Dominion,37,17
49,50,Family Ties,Baby Keem & Kendrick Lamar,18,9
50,51,Have Mercy,Chloe,28,7
51,52,Fair Trade,Drake Featuring Travis Scott,3,8
52,53,Same Boat,Zac Brown Band,53,6
53,54,My Boy,Elvie Shane,28,18
54,55,Hurricane,Kanye West,6,9
55,56,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,56,5
56,57,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",56,13
57,58,Knowing You,Kenny Chesney,58,11
58,59,Memory,Kane Brown X blackbear,50,16
59,60,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,26,17
60,61,Not In The Mood,"Lil Tjay, Fivio Foreign & Kay Flock",61,1
61,62,Pissed Me Off,Lil Durk,39,2
62,63,Woman,Doja Cat,62,13
63,64,Sand In My Boots,Morgan Wallen,32,15
64,65,'Til You Can't,Cody Johnson,65,3
65,66,Love Again,Dua Lipa,41,15
66,67,Whiskey And Rain,Michael Ray,67,4
67,68,One Mississippi,Kane Brown,68,5
68,69,Switches & Dracs,Moneybagg Yo Featuring Lil Durk & EST Gee,69,1
69,70,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,69,4
70,71,Too Easy,Gunna & Future,38,5
71,72,Esta Danada,Ivan Cornejo,61,4
72,73,Volvi,Aventura x Bad Bunny,22,13
73,74,Tequila Little Time,Jon Pardi,74,3
74,75,Whole Lotta Money,BIA Featuring Nicki Minaj,16,16
75,76,2055,Sleepy Hallow,51,15
76,77,Maybach,42 Dugg Featuring Future,68,5
77,78,WFM,Realestk,67,3
78,79,Poke It Out,Wale Featuring J. Cole,79,1
79,80,Praise God,Kanye West,20,5
80,81,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",51,3
81,82,Freedom Was A Highway,Jimmie Allen & Brad Paisley,82,3
82,83,For Tonight,Giveon,83,4
83,84,Thot Shit,Megan Thee Stallion,16,20
84,85,Like A Lady,Lady A,85,3
85,86,Get Into It (Yuh),Doja Cat,68,12
86,87,Scorpio,Moneybagg Yo,87,1
87,88,Big Energy,Latto,88,1
88,89,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,89,1
89,90,Money,Lisa,90,1
90,91,No Friends In The Industry,Drake,11,8
91,92,"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,92,2
92,93,Who's In Your Head,Jonas Brothers,93,3
93,94,In The Bible,Drake Featuring Lil Durk & Giveon,7,8
94,95,Just About Over You,Priscilla Block,95,3
95,96,To Be Loved By You,Parker McCollum,96,1
96,97,Ain't Shit,Doja Cat,24,14
97,98,Life Goes On,Oliver Tree,91,2
98,99,Come Through,H.E.R. Featuring Chris Brown,64,16
99,100,Nevada,YoungBoy Never Broke Again,58,4
148,49,Leave Before You Love Me,Marshmello X Jonas Brothers,19,22
149,50,Deja Vu,Olivia Rodrigo,3,29
155,56,Ex For A Reason,Summer Walker & JT,56,1
159,60,Late At Night,Roddy Ricch,20,20
167,68,Livin It Up,Young Thug With Post Malone & A$AP Rocky,68,1
168,69,Stressed,Young Thug With J. Cole & T-Shyne,69,1
177,78,Rich N***a Shit,Young Thug With Juice WRLD,78,1
178,79,Yonaguni,Bad Bunny,10,20
189,90,Champagne Poetry,Drake,4,7
190,91,Let Somebody Go,Coldplay X Selena Gomez,91,1
192,93,You Time,Scotty McCreery,50,12
194,95,Peepin Out The Window,Young Thug With Future & BSlime,95,1
196,97,Woo Baby,Pop Smoke Featuring Chris Brown,64,3
197,98,Flocky Flocky,Don Toliver Featuring Travis Scott,53,2
240,41,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,1,30
269,70,Todo de Ti,Rauw Alejandro,32,20
272,73,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,24,20
280,81,Your Heart,Joyner Lucas & J. Cole,32,3
283,84,Summer Of Love,Shawn Mendes & Tainy,48,8
286,87,Waves,Luke Bryan,24,17
292,93,Life Support,YoungBoy Never Broke Again,48,5
299,100,Bad Morning,YoungBoy Never Broke Again,28,3
335,36,Intro (Hate On Me),Meek Mill,36,1
354,55,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,53,24
357,58,Butter,BTS,1,20
359,60,Hot,Meek Mill Featuring Moneybagg Yo,60,1
365,66,Expensive Pain,Meek Mill,66,1
368,69,On My Soul,Meek Mill,69,1
371,72,Blue Note$ II,Meek Mill Featuring Lil Uzi Vert,72,2
375,76,Outside (100 MPH),Meek Mill,76,1
377,78,Last One Standing,"Skylar Grey, Polo G, Mozzy & Eminem",78,1
382,83,The Feels,TWICE,83,1
388,89,Me (FWM),Meek Mill Featuring A$AP Ferg,89,1
389,90,Love Train,Meek Mill,90,1
390,91,Feelin Like Tunechi,Lil Wayne Featuring Rich The Kid,91,1
394,95,Ride For You,Meek Mill Featuring Kehlani,95,1
397,98,TSU,Drake,9,5
398,99,Love All,Drake Featuring JAY-Z,10,5
399,100,No Where,YoungBoy Never Broke Again,40,2
436,37,On My Side,YoungBoy Never Broke Again,37,2
444,45,Things A Man Oughta Know,Lainey Wilson,32,20
452,53,Hold Me Down,YoungBoy Never Broke Again,53,1
458,59,50 Shots,YoungBoy Never Broke Again,59,1
460,61,Smoke Strong,YoungBoy Never Broke Again,61,1
461,62,Break Or Make Me,YoungBoy Never Broke Again,62,1
466,67,Sincerely,YoungBoy Never Broke Again,67,1
468,69,I Can't Take It Back,YoungBoy Never Broke Again,69,1
473,74,Rumors,Lizzo Featuring Cardi B,4,7
479,80,Forgiato,YoungBoy Never Broke Again,80,1
482,83,Rich Shit,YoungBoy Never Broke Again,83,1
487,88,N 2 Deep,Drake Featuring Future,12,4
491,92,Baddest Thing,YoungBoy Never Broke Again,92,1
495,96,Pipe Down,Drake,14,4
496,97,Papi's Home,Drake,8,4
498,99,Toxic Punk,YoungBoy Never Broke Again,99,1
499,100,Moon,Kanye West,17,5
536,37,Wildest Dreams (Taylor's Version),Taylor Swift,37,1
540,41,Arcade,Duncan Laurence,30,24
541,42,Scoop,Lil Nas X Featuring Doja Cat,42,1
546,47,Dolla Sign Slime,Lil Nas X Featuring Megan Thee Stallion,47,1
562,63,Lonely,DaBaby X Lil Wayne,63,2
571,72,Dead Right Now,Lil Nas X,72,1
585,86,Tales Of Dominica,Lil Nas X,86,1
587,88,One Of Me,Lil Nas X Featuring Elton John,88,1
588,89,Race My Mind,Drake,18,3
589,90,Lost In The Citadel,Lil Nas X,90,1
590,91,Sun Goes Down,Lil Nas X,66,2
591,92,7am On Bridle Path,Drake,16,3
592,93,Off The Grid,Kanye West,11,4
593,94,In Da Getto,J Balvin & Skrillex,90,3
594,95,Skate,Silk Sonic (Bruno Mars & Anderson .Paak),14,8
596,97,Am I Dreaming,Lil Nas X Featuring Miley Cyrus,97,1
599,100,Don't Go Yet,Camila Cabello,42,9
646,47,Country Again,Thomas Rhett,42,20
652,53,Range Brothers,Baby Keem & Kendrick Lamar,53,1
659,60,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,20,20
671,72,IMY2,Drake Featuring Kid Cudi,22,2
675,76,Yebba's Heartbreak,Drake & Yebba,24,2
677,78,Get Along Better,Drake Featuring Ty Dolla $ign,27,2
682,83,You Only Live Twice,Drake Featuring Lil Wayne & Rick Ross,25,2
683,84,Lalisa,Lisa,84,1
685,86,Fountains,Drake Featuring Tems,26,2
688,89,Single Saturday Night,Cole Swindell,26,20
695,96,We Didn't Have Much,Justin Moore,41,13
698,99,Jail,Kanye West,10,3
731,32,Fucking Fans,Drake,32,1
734,35,The Remorse,Drake,35,1
764,65,Ok Ok,Kanye West,12,2
777,78,Junya,Kanye West,16,2
784,85,Believe What I Say,Kanye West,28,2
790,91,Jonah,Kanye West,27,2
794,95,Jesus Lord,Kanye West,26,2
797,98,Motley Crew,Post Malone,13,9
798,99,Remote Control,Kanye West,40,2
829,30,God Breathed,Kanye West,30,1
833,34,Heartbreak Anniversary,Giveon,16,29
840,41,Forever After All,Luke Combs,2,45
841,42,Heaven And Hell,Kanye West,42,1
842,43,24,Kanye West,43,1
851,52,Pure Souls,Kanye West,52,1
852,53,No Child Left Behind,Kanye West,53,1
857,58,Donda,Kanye West,58,1
858,59,Keep My Spirit Alive,Kanye West,59,1
862,63,Jail Pt 2,Kanye West,63,1
863,64,"I Am Not A Woman, I'm A God",Halsey,64,1
867,68,New Again,Kanye West,68,1
869,70,Lord I Need You,Kanye West,70,1
876,77,Come To Life,Kanye West,77,1
889,90,Tell The Vision,Kanye West,90,1
896,97,Brutal,Olivia Rodrigo,12,12
897,98,AM,Nio Garcia X J Balvin X Bad Bunny,41,10
898,99,Repeat It,Lil Tecca & Gunna,80,3
899,100,Matt Hardy 999,Trippie Redd Featuring Juice WRLD,49,2
919,20,Blinding Lights,The Weeknd,1,90
935,36,Glad You Exist,Dan + Shay,21,29
936,37,Without You,The Kid LAROI,8,38
938,39,Astronaut In The Ocean,Masked Wolf,6,28
939,40,Rapstar,Polo G,1,20
942,43,Famous Friends,Chris Young + Kane Brown,21,22
945,46,Lil Bit,Nelly & Florida Georgia Line,23,23
946,47,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,13,25
955,56,Rich MF,Trippie Redd Featuring Lil Durk & Polo G,56,1
959,60,Already Won,Rod Wave Featuring Lil Durk,60,1
966,67,Betrayal,Trippie Redd Featuring Drake,67,1
968,69,Don't Go,"Skrillex, Justin Bieber & Don Toliver",69,1
971,72,Tombstone,Rod Wave,11,22
974,75,Visiting Hours,Ed Sheeran,75,1
977,78,Holy Smokes,Trippie Redd Featuring Lil Uzi Vert,50,3
978,79,Miss The Rage,Trippie Redd & Playboi Carti,11,11
981,82,You,Regard x Troye Sivan x Tate McRae,58,11
985,86,MP5,Trippie Redd Featuring SoFaygo,86,1
986,87,Paralyzed,Sueco,65,2
989,90,I Guess I'm In Love,Clinton Kane,90,1
990,91,Get Ready,Rod Wave Featuring Kodak Black,91,1
991,92,Danny Phantom,Trippie Redd Featuring XXXTENTACION,92,1
992,93,What's Wrong,Rod Wave,93,1
993,94,Demon Time,Trippie Redd Featuring Ski Mask The Slump God,94,1
995,96,Tick Tock,Young Thug,96,1
996,97,Permission To Dance,BTS,1,7
998,99,Time Heals,Rod Wave,99,1
1077,78,Mind Of Melvin,YNW Melly Featuring Lil Uzi Vert,78,1
1078,79,Papercuts,Machine Gun Kelly,79,1
1081,82,SUVs (Black On Black),Jack Harlow & Pooh Shiesty,67,2
1082,83,Straightenin,Migos,23,14
1083,84,Blame It On You,Jason Aldean,30,17
1085,86,Hats Off,"Lil Baby, Lil Durk & Travis Scott",16,11
1087,88,Over The Top,Smiley Featuring Drake,57,4
1088,89,Brainwashed,Tom MacDonald,89,1
1089,90,my.life,"J. Cole, 21 Savage & Morray",2,14
1091,92,WUSYANAME,"Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign",14,7
1092,93,Favorite Crime,Olivia Rodrigo,16,13
1093,94,Outside,MO3 X OG Bobby Billions,92,7
1094,95,Ball If I Want To,DaBaby,39,9
1095,96,Next Girl,Carly Pearce,86,4
1096,97,I Like Dat,T-Pain & Kehlani,97,1
1097,98,Steal My Love,Dan + Shay,98,1
1099,100,5500 Degrees,"EST Gee Featuring Lil Baby, 42 Dugg & Rylo Rodriguez",92,2
1136,37,Telepatia,Kali Uchis,25,25
1141,42,My Ex's Best Friend,Machine Gun Kelly X blackbear,20,52
1176,77,NDA,Billie Eilish,39,5
1178,79,EPMD 2,Nas Featuring Eminem & EPMD,79,1
1185,86,Lose,KSI x Lil Wayne,86,1
1187,88,I Hope Ur Miserable Until Ur Dead,Nessa Barrett,88,1
1191,92,Not Sober,The Kid LAROI Featuring Polo G & Stunna Gambino,41,3
1196,97,Happier,Olivia Rodrigo,15,12
1197,98,Twerkulator,City Girls,51,9
1198,99,Fiel,"Los Legendarios, Wisin & Jhay Cortez",62,9
1199,100,Rare,Nas,100,1
1237,38,Best Friend,Saweetie Featuring Doja Cat,14,30
1247,48,Mood,24kGoldn Featuring iann dior,1,52
1256,57,One Too Many,Keith Urban Duet With P!nk,52,34
1268,69,Getting Older,Billie Eilish,69,1
1269,70,Billie Bossa Nova,Billie Eilish,70,1
1271,72,Oxytocin,Billie Eilish,72,1
1279,80,I Didn't Change My Number,Billie Eilish,80,1
1280,81,Way Less Sad,AJR,54,15
1283,84,Lost Cause,Billie Eilish,27,4
1289,90,Halley's Comet,Billie Eilish,90,1
1290,91,My Future,Billie Eilish,6,7
1291,92,Build A Bitch,Bella Poarch,56,12
1298,99,From The Garden,Isaiah Rashad Featuring Lil Uzi Vert,99,1
1299,100,Working,Tate McRae X Khalid,88,6
1348,49,Wants And Needs,Drake Featuring Lil Baby,2,21
1365,66,Settling Down,Miranda Lambert,41,20
1366,67,Gone,Dierks Bentley,26,20
1383,84,Red Light Green Light,DaBaby,50,5
1387,88,Better Believe,"Belly, The Weeknd & Young Thug",88,1
