,title,all_artists,popularity
0,Mon Coeur D'Attache,Liane Foly,2
1,We Are Many,Luciana Souza,0
2,Our Love is Here to Stay,Geraldine Hunt feat. Freddie James & Rosalind aka Cheri,2
3,Só Deixo Meu Coração Na Mão de Quem Pode - Dolores's Mix,DJ Dolores,0
4,I Killed the Neighbours,Misty's Big Adventure,3
5,Others Die,A Life Once Lost,4
6,My Luck Is Gonna Change,Carol Duboc,0
7,Fully,Gescom,0
8,Do Something For Me,Clyde McPhatter,4
9,A Pesar De Todos - Altos De Chavón Live Version,Ana Gabriel,23
10,Clancy's Theme,Bruce Rowland,26
11,Vision,Brutal Truth,7
12,sólo la verdad,Alejandro Santiago,2
13,Down And Out - Live-Acoustic,Tantric,6
14,Fall To Fly,The Oak Ridge Boys,2
15,Ayúdame,Intocable,18
16,Advice To Medics,Sun Ra,13
17,Origineller werden,Jürgen von der Lippe,4
18,Into Something (Can't Shake Loose),O.V. Wright,30
19,"We Don't Wanna Sit Down, We Wanna Get Down",Brick,23
20,Good Night Good Morning (feat. Ne-Yo),Ne-Yo,19
21,Never Missed You More,Joe D'Urso & Stone Caravan,0
22,The Odyssey - Be / Lonely Looking Sky / Dear Father,Neil Diamond,27
23,Pimp Shit,JT Money,1
24,Ejected,Hanna Pakarinen,1
25,Skit,MC Basstard,2
26,Direction:North,[:SITD:],2
27,Operation Valkyrie,John Ottman,15
28,Dead End Countdown - New Mix - Album Version,The New Cities,20
29,Otra Como Tu,Toño Rosario,46
30,Georgia Up North,Solomon Burke,1
31,Rock of Fate,"Kawabata Makoto,Michishita Shinsuke",0
32,Koning Leeuw,Herman Finkers,2
33,Give Him a Great Big Kiss - live Paris '77,Johnny Thunders & The Heartbreakers,1
34,Handel,Ogogo,0
35,Sentimental Me,The Hugh Dillon Redemption Choir,1
36,The Confederate Dead,Marco Beltrami,1
37,Absolutely Nothing,Lily Allen,28
38,Rock The Floor,Luigi Lusini,1
39,Your Son Is Gone,James Newton Howard,16
40,Welcome Home,Jonezetta,11
41,Wot A Rotter,Luke Haines,1
42,Tohtori Kuka,Uusitalo,0
43,American Reprieve,Jason Ringenberg,0
44,Take Me Off The Cross,Herman Brood & His Wild Romance,0
45,Piece Of Your Action,Vince Neil,5
46,Crying Shame,John Mayall & The Bluesbreakers,2
47,Con Todo,Fruko Y Sus Tesos,3
48,Jump All Around - Club Mix,Picco,1
49,Let Me C-Ya Work It,Splack Pack,17
50,Roller Coaster,Brent Lamb,1
51,Loved Forever,Vivian Khor,0
52,Wake Up To Me,First Choice,10
53,Your New Girlfriend,Dallas,0
54,Lasting Forever,Gruppo Sportivo,15
55,Loaded,Egor Boss,0
56,Our Bones,Cepia,0
57,Capricho,Gary Hobbs,0
